Code,DeerYear,Sex,BirthWt,MumCode,MotherStatus,MumAge,ObsYear,Age,LeftSpike,RightSpike,AvgSpike
ZAN99,1999,2,4.710000191,ALD91,Milk,8,2000,1,1,1,1
ETN97,1997,2,6.979999809,ALD94,Naive,3,1998,1,1,1,1
ETN01,2001,2,6.56,ALD94,Milk,7,2002,1,6,6,6
ETN03,2003,2,8.479999809,ALD94,True yeld,9,2004,1,7,7,7
ARD02,2002,2,6.38,ALD98,Naive,4,2003,1,6,6,6
CSK93,1993,2,6.620000191,ANK89,Naive,4,1994,1,1,1,1
CSK95,1995,2,5.820000095,ANK89,Summer yeld,6,1996,1,4,4,4
CSK96,1996,2,8.179999619,ANK89,Milk,7,1997,1,1,1,1
FLG00,2000,2,6.2,ANK90,True yeld,10,2001,1,2,1,1.5
COO97,1997,2,6.675000095,ANK91,Winter yeld,6,1998,1,1,1,1
LIA20,2020,2,7.210000191,ARA09,True yeld,11,2021,1,3,3,3
NIA20,2020,2,6.040000095,ARE14,Milk,6,2021,1,0.5,0.5,0.5
ART00,2000,2,7.14,ARI96,Summer yeld,4,2001,1,1.5,1.5,1.5
AND02,2002,2,6.519999809,ARI99,Naive,3,2003,1,2,2,2
APN87,1987,2,5.974999809,ASP78,True yeld,9,1988,1,0,0,0
CEL97,1997,2,9.219999619,AST90,True yeld,7,1998,1,4,4,4
ARI91,1991,2,7.319999619,ATH87,Naive,4,1992,1,1.5,1,1.25
ARI93,1993,2,7.825000095,ATH87,True yeld,6,1994,1,1,1,1
PRS93,1993,2,6.159999809,ATH89,Naive,4,1994,1,2,2,2
PRS95,1995,2,7.28,ATH89,True yeld,6,1996,1,4.5,7.5,6
STI95,1995,2,5.859999905,AVO89,Milk,6,1996,1,5.5,5.5,5.5
STI98,1998,2,6.220000095,AVO89,True yeld,9,1999,1,0.5,0.5,0.5
STI99,1999,2,6.360000095,AVO89,Milk,10,2000,1,8,7.5,7.75
GOD95,1995,2,6.760000191,AVO90,Milk,5,1996,1,1,1,1
GOD96,1996,2,7.119999809,AVO90,Milk,6,1997,1,1,1,1
IRI13,2013,2,6.220000191,AYE09,Naive,4,2014,1,4,4,4
IRI18,2018,2,8.425,AYE09,True yeld,9,2019,1,3,3,3
IRI20,2020,2,8.339999809,AYE09,True yeld,11,2021,1,0.5,0.5,0.5
KOH20,2020,2,7.710000191,AYE10,True yeld,10,2021,1,1,1,1
PEN86,1986,2,6.139999809,BAR80,Winter yeld,6,1987,1,1.5,2,1.75
OAT89,1989,2,7.775,BAR83,True yeld,6,1990,1,1.5,1.5,1.5
LAC02,2002,2,7.880000381,BCL95,True yeld,7,2003,1,1,1.5,1.25
RIB02,2002,2,6.440000191,BCL96,True yeld,6,2003,1,2.5,3.5,3
MAA20,2020,2,7.220000191,BED15,Summer yeld,5,2021,1,0.5,0.5,0.5
MAA21,2021,2,6.554999905,BED15,Milk,6,2022,1,6,6,6
MLN02,2002,2,7.839999809,BEE93,True yeld,9,2003,1,2.5,2.5,2.5
MLN07,2007,2,8.28,BEE93,True yeld,14,2008,1,2,2,2
JUN77,1977,2,4.84,BET73,Naive,4,1978,1,2,2.5,2.25
JUN78,1978,2,7.119999809,BET73,Milk,5,1979,1,2,1,1.5
MOZ03,2003,2,8.98,BIE97,Milk,6,2004,1,0.5,0.5,0.5
MOZ05,2005,2,7.48,BIE97,True yeld,8,2006,1,4,4,4
CRA84,1984,2,8.440000191,BIG76,Winter yeld,8,1985,1,1,1,1
FRO95,1995,2,5.879999905,BIL84,Summer yeld,11,1996,1,0,0,0
BOM04,2004,2,7.119999809,BIT01,Naive,3,2005,1,1.5,1.5,1.5
BOM06,2006,2,8.030000191,BIT01,True yeld,5,2007,1,5,5,5
BOM07,2007,2,7.360000095,BIT01,Milk,6,2008,1,1,1,1
KIW79,1979,2,5.040000095,BLO75,Naive,4,1980,1,0,0,0
KIW85,1985,2,6.580000191,BLO75,Milk,10,1986,1,0,0,0
KIW87,1987,2,6.479999809,BLO75,True yeld,12,1988,1,2.5,3,2.75
KIW89,1989,2,7.059999905,BLO75,True yeld,14,1990,1,3.5,4,3.75
BLO77,1977,2,5.979999905,BLOSS,True yeld,10,1978,1,3,4,3.5
BLO78,1978,2,7.41,BLOSS,Milk,11,1979,1,1.5,1.5,1.5
BET75,1975,2,8.56,BLT68,Summer yeld,7,1976,1,4,4.5,4.25
